"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Cabo Verde","CPV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","4481","5355","6513","5598","5146","5166","5230","4266","","3974","","","","3350","","","","707","","1375","1838","2030","2152","3095","2937","2929","3315","3317","3137","2902","2977","2658","2895","2970","3177","3409","3647","3549","3607","3884","3472","","",
"Costa Rica","CRI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","20498","","16939","14869","","16383","13170","","15386","18653","19807","20568","24430","","","27519","26545","26901","","28880","31089","32014","","","","","","","","","","","","","","","","","","","","","4282","8051","12447","13670","13386","16264","8795","6932","9246","10929","10882","",
"Caribbean small states","CSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","45763","24128","18598","","","","","27959","24039","32457","26402","13931","19786","25530","24804","18488","14464","17128","21991","22289","17858","20206","19459","22241","7184","","","","","","","75","","2247","6770","1625","6462","4721","5740","9174","8429","2081","9565","10336","10124","10853","10334","9738","8064","9014","18547","",
"Curacao","CUW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","52","171","81","13","95","","","34","","","","","","","","128","66","107","49","",
"Cyprus","CYP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","765","759","430","359","382","320","91","137","","","","","361","563","739","426","538","434","100","","","","","",
"Czechia","CZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1390","2659","3564","1452","3259","4951","6351","7591","9139","6588","5877","4725","4789","","",
"Germany","DEU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40532","39516","32783","29034","34670","28133","24402","25571","15862","10068","14479","14217","19107","14191","29575","20137","16978","18047","21627","26897","","",
"Djibouti","DJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","23000","23339","24363","25999","27767","30906","","37686","34876","35965","34776","34817","35972","","37351","38642","38131","38173","","37098","36859","35662","34923","29344","31231","","28980","","29434","24777","28334","29847","28332","26628","23689","22831","22373","21782","",
"Dominica","DMA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","565","582","494","","1019","993","1417","841","","","","","","","","","","","","","","","","","","","","","","","","108","270","297","141","","","","","","81","111","","","455","372","408","393","",
"Denmark","DNK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","1621","1700","2359","1960","2130","1224","746","","","","","2508","4844","3213","5381","5206","","4492","992","496","515","","","6631","4366","2560","1332","1536","1208","1437","1395","1132","1312","1958","1892","1714","1490","1019","1012","956","1173","1398","",
"Dominican Republic","DOM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93569","79230","","22264","40987","92799","85475","95185","54003","75799","","11911","18869","26587","30424","41781","20572","25489","30988","34056","24771","26111","64961","47271","",
"Algeria","DZA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","267044","187527","134163","149247","206672","209632","223841","212888","215027","224881","230820","195074","178599","153987","133158","119937","123652","146122","143389","150527","181971","195311","188661","197565","194256","","116059","95996","47103","17668","11957","7851","1584","7820","17886","9878","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","122975","","126652","125395","133653","134036","115360","103621","82429","93079","","","","","","","","","","","","","","100491","96017","86122","62357","57922","58507","50096","38696","25337","23237","","30451","19870","","30938","","","","","","","","","","","","26869","40262","49136","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","658793","661317","681245","","","","","731167","","","","","","","","","","","","","","","","437203","","","366848","","566674","548136","576600","594328","586026","557921","","","","","","","","533366","","551189","","387074","346211","291329","187859","101352","43811","","",
"Euro area","EMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82159","","80015","79239","78764","80341","","69204","58273","55560","45743","37210","38797","41112","49834","65686","76133","82550","87471","78045","72175","79140","80240","84899","","98469","98598","102195","","","","",
"Spain","ESP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","126147","104263","96985","","","","","19562","17707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6160","13180","26713","29846","34865","40594","45132","49507","48404","45540","40706","33549","29273","28577","","",
"Estonia","EST","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9099","7124","","1511","","","","","","","","","","","","","","","","1007","1162","1103","1099","1138","1101","1051","1005","841","",
"Ethiopia","ETH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","2227375","2301271","2477239","","","","","3435616","3432561","3348662","","3283751","3343652","3271945","3159893","3145149","3205722","3161902","2548274","2312651","1975586","1589566","1696471","1880438","1622712","1595595","","1193016","1291133","","","","","","1995326","1954473","",
"European Union","EUU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
